invoice_id,item_name,quantity,unit_price,amount
0525,Jamaican Blue Mountain Roast Beans,3.0,175.0,525.0
0525,Batmobile Muffler,1.0,50.0,50.0
0525,"Batcave Electric, Internet, Water Cooler Monthly
Costs",1.0,2500.0,2500.0
0525,Bigwave longboards & board wax,1.0,650.0,650.0
0525,Marbel Countertops Installation,1.0,2500.0,2500.0
0525,Inventory Testing,5.0,250.0,1250.0
0525,"WP Admin Backup, Plugin Updates",1.0,45.0,45.0
0525,"New web design, 5 mockups included",1.0,720.0,720.0
0525,Stainless Steel Sinks,1.0,25.0,25.0
0525,Bigwave longboards & board wax,1.0,650.0,650.0
0525,A4 500 Sheets Package,1.0,15.0,15.0
0525,Inventory Testing,5.0,250.0,1250.0
0526,A4 500 Sheets Package,16.0,85.0,1360.0
0526,"Batcave Electric, Internet, Water Cooler Monthly Costs",1.0,2500.0,2500.0
0526,Kitchen Remodel,1.0,25.0,25.0
0526,A2 1500 Sheets Package,1.0,45.0,45.0
0526,Inventory Testing,5.0,250.0,1250.0
0526,"WP Admin Backup, Plugin Updates",1.0,45.0,45.0
0526,Laser Printer Toner - Black,8.0,55.0,440.0
0526,Laser Printer Toner - Cyan,4.0,55.0,220.0
0526,Laser Printer Toner - Magenta,4.0,55.0,220.0
0526,Laser Printer Toner - Yelow,4.0,55.0,220.0
0526,A2 1500 Sheets Package,21.0,45.0,945.0
0526,New Laser Printer 250 sheets per minute,1.0,1500.0,1500.0
0526,4-Year Extended Warranty Parts & Service,1.0,250.0,250.0
0526,Laser Printer Delivery & Installation,65.0,1.0,65.0
208027,Exhaust repair,1.0,350.0,350.0
208027,Front left window glass replaced,1.0,280.0,280.0
208027,Front tires changed,2.0,48.0,96.0
208027,Bumper paint touch up,1.0,35.0,35.0
208027,New sound system installed,1.0,400.0,400.0
208027,Exhaust repair,1.0,350.0,350.0
208027,Front left window glass replaced,1.0,280.0,280.0
208027,Front tires changed,2.0,48.0,96.0
208027,Bumper paint touch up,1.0,35.0,35.0
208027,New sound system installed,1.0,400.0,400.0
208027,Exhaust repair,1.0,350.0,350.0
208027,Front left window glass replaced,1.0,280.0,280.0
208027,Front tires changed,2.0,48.0,96.0
208027,Bumper paint touch up,1.0,35.0,35.0
208027,New sound system installed,1.0,400.0,400.0
